City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Lupiro,TZ,-8.3833,36.6667,73.02,97,100,3.4,light rain
253,Mackenzie,CA,55.2999,-123.1698,-4.0,65,1,4.61,clear sky
254,Yeniseysk,RU,58.4497,92.1703,16.09,95,94,6.78,overcast clouds
255,Waipawa,NZ,-41.4122,175.5153,71.6,64,75,21.85,broken clouds
256,Montepuez,MZ,-13.1256,38.9997,69.12,97,100,1.34,overcast clouds
257,Sri Aman,MY,1.2376,111.4621,78.8,94,40,1.07,scattered clouds
258,Ribeira Brava,PT,32.65,-17.0667,57.99,89,51,3.0,broken clouds
259,San Policarpo,PH,12.1791,125.5072,77.18,86,100,11.39,very heavy rain
260,Luderitz,NA,-26.6481,15.1594,67.17,52,0,26.87,clear sky
261,Katsuura,JP,35.1333,140.3,50.0,32,3,11.01,clear sky
262,Temir,KZ,49.1414,57.13,-8.5,90,72,14.09,broken clouds
263,Imperial,US,33.0334,-115.4175,71.6,26,1,3.44,clear sky
264,Ucluelet,CA,48.9329,-125.5528,43.0,75,40,13.8,scattered clouds
265,Mocuba,MZ,-16.8392,36.9856,73.31,97,75,1.7,broken clouds
266,Mossendjo,CG,-2.9506,12.7261,69.13,99,100,1.43,light rain
267,Langarud,IR,37.197,50.1535,53.6,87,90,4.61,mist
268,Cayenne,GF,4.9333,-52.3333,78.8,89,90,3.44,overcast clouds
269,Anloga,GH,5.7947,0.8973,84.2,84,20,11.5,few clouds
270,Talaja,IN,21.35,72.05,64.45,35,0,10.27,clear sky
271,Piopio,NZ,-38.4667,175.0167,80.01,39,10,4.0,clear sky
272,Tremedal,BR,-14.9758,-41.4108,70.18,90,100,4.12,overcast clouds
273,Gazojak,TM,41.1875,61.4036,45.46,82,100,7.78,overcast clouds
274,Krasnoselkup,RU,65.7,82.4667,18.97,97,100,17.69,light snow
275,Bulgan,MN,48.8125,103.5347,13.5,83,0,4.36,clear sky
276,South Venice,US,27.0531,-82.4243,64.4,72,40,6.91,scattered clouds
277,Gigmoto,PH,13.7796,124.39,80.24,81,100,17.34,moderate rain
278,Martil,MA,35.6166,-5.2752,57.2,72,69,20.71,broken clouds
279,Olgod,DK,55.8068,8.6286,26.6,80,90,13.8,light snow
280,Saint-Joseph,RE,-21.3667,55.6167,80.6,61,90,8.05,overcast clouds
281,Kautokeino,NO,69.0125,23.0412,5.29,91,37,4.88,scattered clouds
282,Sitka,US,57.0531,-135.33,33.8,37,75,9.22,broken clouds
283,Moyale,KE,3.5167,39.0584,71.87,46,99,9.95,overcast clouds
284,Yumen,CN,40.2833,97.2,29.91,75,100,8.99,overcast clouds
285,Zakamensk,RU,50.3741,103.2863,7.29,87,94,3.42,overcast clouds
286,Shache,CN,38.4167,77.2406,27.14,85,89,2.08,overcast clouds
287,Fairbanks,US,64.8378,-147.7164,-13.0,76,1,3.09,clear sky
288,Sidrolandia,BR,-20.9319,-54.9614,71.6,68,0,4.61,clear sky
289,Voh,NC,-20.9667,164.7,84.22,63,10,6.2,clear sky
290,Lingao,CN,19.9103,109.6859,68.77,89,100,7.87,overcast clouds
291,Kavieng,PG,-2.5744,150.7967,85.26,70,11,6.64,few clouds
292,Disraeli,CA,45.9001,-71.3491,21.99,92,100,5.37,light snow
293,Khani,GE,41.9563,42.9566,44.6,93,75,8.05,broken clouds
294,Sisimiut,GL,66.9395,-53.6735,23.45,79,3,17.56,clear sky
295,Georgetown,MY,5.4112,100.3354,82.4,78,20,2.3,few clouds
296,Marawi,PH,7.9986,124.2928,79.0,90,100,2.13,light rain
297,Talas,TR,38.6908,35.5538,32.0,86,0,1.14,clear sky
298,Sabancuy,MX,18.9667,-91.1833,73.83,88,0,7.4,clear sky
299,Lata,PT,40.1629,-8.3327,55.0,88,79,13.0,broken clouds
300,Mbarara,UG,-0.608,30.65,64.38,53,100,2.95,overcast clouds
301,Balyaga,RU,51.1507,108.921,6.03,90,72,1.97,broken clouds
302,Aasiaat,GL,68.7098,-52.8699,16.09,86,0,17.74,clear sky
303,Ngawi,ID,-7.4038,111.4461,80.37,83,84,12.39,broken clouds
304,Coihaique,CL,-45.5752,-72.0662,66.2,48,0,8.05,clear sky
305,Kenai,US,60.5544,-151.2583,17.6,85,1,8.05,clear sky
306,Tecolutla,MX,20.4833,-97.0167,71.6,78,75,5.75,broken clouds
307,Lesnoy,RU,57.6198,63.0784,-5.15,90,100,9.91,overcast clouds
308,El Rosario,MX,24.2556,-107.1828,64.4,63,75,3.44,broken clouds
309,Dunedin,NZ,-45.8742,170.5036,61.0,88,100,1.01,overcast clouds
310,Ust-Karsk,RU,52.7011,118.8077,-7.06,84,78,2.82,broken clouds
311,Marzuq,YE,14.4,46.4667,56.05,47,0,3.91,clear sky
312,Hanna,CA,51.6334,-111.9018,-24.0,77,57,1.01,broken clouds
313,Pimentel,PE,-6.8367,-79.9342,70.0,88,97,1.99,overcast clouds
314,Marsh Harbour,BS,26.5412,-77.0636,75.16,89,33,10.31,scattered clouds
315,Chingirlau,KZ,51.095,54.0814,-11.33,89,74,13.22,broken clouds
316,Las Palmas,ES,28.4204,-14.0131,62.6,67,90,8.05,overcast clouds
317,Yar-Sale,RU,66.8333,70.8333,-10.7,90,100,21.25,light snow
318,Avera,US,33.194,-82.5271,39.0,80,1,5.37,clear sky
319,Remanso,BR,-9.6179,-42.0831,75.4,83,100,7.65,overcast clouds
320,Huilong,CN,31.8111,121.655,48.99,53,99,3.0,overcast clouds
321,Mopti,ML,14.6667,-4.0,70.99,23,99,11.43,overcast clouds
322,Muros,ES,42.7762,-9.0603,52.0,80,21,1.99,few clouds
323,Sayansk,RU,54.1088,102.1648,11.46,94,50,3.04,scattered clouds
324,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.01,95,100,7.96,overcast clouds
325,San Cristobal,VE,7.7669,-72.225,67.32,86,100,0.85,overcast clouds
326,Wajima,JP,37.4,136.9,30.2,80,75,5.75,light snow
327,Senno,RU,59.5336,33.9167,3.99,85,100,4.14,overcast clouds
328,Kiruna,SE,67.8557,20.2251,17.6,79,90,4.61,overcast clouds
329,Palamos,ES,41.8484,3.1291,46.99,100,100,1.14,overcast clouds
330,Hamilton,US,39.1834,-84.5333,19.4,45,90,4.61,overcast clouds
331,Vestmannaeyjar,IS,63.4427,-20.2734,39.36,73,100,24.49,overcast clouds
332,Te Anau,NZ,-45.4167,167.7167,66.04,65,100,4.88,heavy intensity rain
333,Premia De Mar,ES,41.4921,2.3652,52.0,61,100,1.99,overcast clouds
334,Acarau,BR,-2.8856,-40.12,79.52,83,50,12.71,scattered clouds
335,Kemijarvi,FI,66.7131,27.4306,8.29,94,10,7.23,clear sky
336,Rudbar,AF,30.15,62.6,58.08,31,28,7.52,scattered clouds
337,Imeni Poliny Osipenko,RU,52.4201,136.4853,8.51,87,100,6.2,overcast clouds
338,Nakusp,CA,50.2499,-117.8023,28.4,69,82,3.44,broken clouds
339,Constitucion,CL,-35.3333,-72.4167,57.49,91,2,7.11,clear sky
340,Kirensk,RU,57.7853,108.1119,25.23,95,100,12.12,light snow
341,Inhambane,MZ,-23.865,35.3833,77.85,87,96,7.99,light rain
342,Okhotsk,RU,59.3833,143.3,19.72,90,100,18.99,overcast clouds
343,Grindavik,IS,63.8424,-22.4338,33.8,75,0,14.97,snow
344,Port-Gentil,GA,-0.7193,8.7815,81.68,79,100,6.89,overcast clouds
345,Aitape,PG,-3.1374,142.3475,85.55,64,93,4.09,overcast clouds
